scenario,standard,param_name,param_value,flow_id,src,dst,txPkts,rxPkts,lost,lossRate_pct,meanDelay_ms,jitter_ms
distance,80211ax,distance_m,15,3,192.168.1.4:49153,192.168.1.1:9,15000,14998,0,0,8.96577,2.61422
distance,80211ax,distance_m,15,4,192.168.1.5:49153,192.168.1.1:9,15000,14999,0,0,2.22191,1.47202
distance,80211ax,distance_m,15,5,192.168.1.6:49153,192.168.1.1:9,15000,15000,0,0,0.951574,0.706702
distance,80211ax,distance_m,20,1,192.168.1.2:49153,192.168.1.1:9,15000,0,10001,66.6733,-1,-1
distance,80211ax,distance_m,20,2,192.168.1.3:49153,192.168.1.1:9,15000,15000,0,0,0.568614,0.553067
distance,80211ax,distance_m,20,3,192.168.1.4:49153,192.168.1.1:9,15000,0,10001,66.6733,-1,-1
distance,80211ax,distance_m,20,4,192.168.1.5:49153,192.168.1.1:9,15000,5,9996,66.64,501.949,3.42668
distance,80211ax,distance_m,20,5,192.168.1.6:49153,192.168.1.1:9,15000,14370,315,2.1,320.452,3.79968
distance,80211ax,distance_m,25,1,192.168.1.2:49153,192.168.1.1:9,15000,0,10001,66.6733,-1,-1
distance,80211ax,distance_m,25,2,192.168.1.3:49153,192.168.1.1:9,15000,15000,0,0,0.675146,0.658935
distance,80211ax,distance_m,25,3,192.168.1.4:49153,192.168.1.1:9,15000,0,10001,66.6733,-1,-1
distance,80211ax,distance_m,25,4,192.168.1.5:49153,192.168.1.1:9,15000,0,10001,66.6733,-1,-1
distance,80211ax,distance_m,25,5,192.168.1.6:49153,192.168.1.1:9,15000,0,10001,66.6733,-1,-1
distance,80211be,distance_m,1,1,192.168.1.2:49153,192.168.1.1:9,15000,15000,0,0,0.71323,0.40454
distance,80211be,distance_m,1,2,192.168.1.3:49153,192.168.1.1:9,15000,15000,0,0,0.719994,0.404683
distance,80211be,distance_m,1,3,192.168.1.4:49153,192.168.1.1:9,15000,15000,0,0,0.726833,0.407571
distance,80211be,distance_m,1,4,192.168.1.5:49153,192.168.1.1:9,15000,15000,0,0,0.713166,0.406014
distance,80211be,distance_m,1,5,192.168.1.6:49153,192.168.1.1:9,15000,15000,0,0,0.722675,0.414261
