scenario,standard,param_name,param_value,rng_run,flow_id,src,dst,txPkts,rxPkts,lost,lossRate_pct,meanDelay_ms,jitter_ms
background,80211ac,nBackground,0,10,2,192.168.1.6:49153,192.168.1.1:9,848,848,0,0,0.0593763,0.00803861
background,80211ac,nBackground,0,10,3,192.168.1.2:49153,192.168.1.1:9,844,844,0,0,0.0447346,0.0034574
background,80211ac,nBackground,0,10,4,192.168.1.5:49153,192.168.1.1:9,782,782,0,0,0.051289,0.00483348
background,80211ac,nBackground,0,10,5,192.168.1.3:49153,192.168.1.1:9,973,973,0,0,0.0461158,0.0046826
background,80211ac,nBackground,1,1,1,192.168.1.6:49153,192.168.1.1:9,983,983,0,0,0.046916,0.00740725
background,80211ac,nBackground,1,1,2,192.168.1.2:49153,192.168.1.1:9,914,914,0,0,0.0463655,0.00630637
background,80211ac,nBackground,1,1,3,192.168.1.3:49153,192.168.1.1:9,860,860,0,0,0.0491454,0.00985326
background,80211ac,nBackground,1,1,4,192.168.1.5:49153,192.168.1.1:9,824,824,0,0,0.0477883,0.00917489
background,80211ac,nBackground,1,1,5,192.168.1.4:49153,192.168.1.1:9,875,875,0,0,0.0489208,0.00777292
background,80211ac,nBackground,1,2,1,192.168.1.2:49153,192.168.1.1:9,969,969,0,0,0.0496966,0.0102274
background,80211ac,nBackground,1,2,2,192.168.1.3:49153,192.168.1.1:9,863,863,0,0,0.0512665,0.00837036
background,80211ac,nBackground,1,2,4,192.168.1.5:49153,192.168.1.1:9,906,906,0,0,0.0465005,0.00675259
background,80211ac,nBackground,1,2,5,192.168.1.4:49153,192.168.1.1:9,835,835,0,0,0.0481071,0.00978669
background,80211ac,nBackground,1,2,6,192.168.1.6:49153,192.168.1.1:9,830,830,0,0,0.0522456,0.00988869
background,80211ac,nBackground,1,3,1,192.168.1.3:49153,192.168.1.1:9,887,887,0,0,0.046656,0.0059441
background,80211ac,nBackground,1,3,2,192.168.1.4:49153,192.168.1.1:9,949,949,0,0,0.0500482,0.00964465
background,80211ac,nBackground,1,3,3,192.168.1.5:49153,192.168.1.1:9,909,909,0,0,0.045057,0.00414531
background,80211ac,nBackground,1,3,5,192.168.1.2:49153,192.168.1.1:9,818,818,0,0,0.0465677,0.00662968
background,80211ac,nBackground,1,3,6,192.168.1.6:49153,192.168.1.1:9,914,914,0,0,0.0507535,0.00767123
background,80211ac,nBackground,1,4,1,192.168.1.3:49153,192.168.1.1:9,972,972,0,0,0.0459587,0.00520636
background,80211ac,nBackground,1,4,2,192.168.1.4:49153,192.168.1.1:9,860,860,0,0,0.0460356,0.00603422
background,80211ac,nBackground,1,4,3,192.168.1.6:49153,192.168.1.1:9,891,891,0,0,0.0491389,0.00628022
background,80211ac,nBackground,1,4,4,192.168.1.5:49153,192.168.1.1:9,837,837,0,0,0.0472566,0.00705336
background,80211ac,nBackground,1,4,5,192.168.1.2:49153,192.168.1.1:9,949,949,0,0,0.055672,0.0118025
background,80211ac,nBackground,1,5,1,192.168.1.4:49153,192.168.1.1:9,866,866,0,0,0.047363,0.00877568
background,80211ac,nBackground,1,5,2,192.168.1.6:49153,192.168.1.1:9,807,807,0,0,0.0474894,0.00872566
background,80211ac,nBackground,1,5,3,192.168.1.2:49153,192.168.1.1:9,870,870,0,0,0.046923,0.00775617
background,80211ac,nBackground,1,5,4,192.168.1.5:49153,192.168.1.1:9,793,793,0,0,0.0476532,0.00582822
background,80211ac,nBackground,1,5,6,192.168.1.3:49153,192.168.1.1:9,819,819,0,0,0.0474311,0.00560273
background,80211ac,nBackground,1,6,1,192.168.1.2:49153,192.168.1.1:9,884,884,0,0,0.0461065,0.00410096
background,80211ac,nBackground,1,6,2,192.168.1.5:49153,192.168.1.1:9,901,901,0,0,0.0472993,0.00493419
background,80211ac,nBackground,1,6,3,192.168.1.6:49153,192.168.1.1:9,794,794,0,0,0.0465125,0.00678747
background,80211ac,nBackground,1,6,4,192.168.1.4:49153,192.168.1.1:9,801,801,0,0,0.0515082,0.00974676
background,80211ac,nBackground,1,6,5,192.168.1.3:49153,192.168.1.1:9,794,794,0,0,0.0463364,0.00625403
background,80211ac,nBackground,1,7,1,192.168.1.5:49153,192.168.1.1:9,945,945,0,0,0.0468921,0.00584013
background,80211ac,nBackground,1,7,3,192.168.1.3:49153,192.168.1.1:9,973,973,0,0,0.0528373,0.0125674
